date,types
2026-01-08,kerstbomen
2026-01-15,"gft,pmd"
2026-01-22,restafval
2026-01-29,pmd
2026-02-12,"gft,pmd"
2026-02-19,restafval
2026-02-26,pmd
2026-03-12,"gft,pmd"
2026-03-19,restafval
2026-03-26,"gft,pmd"
2026-04-09,"gft,pmd"
2026-04-16,restafval
2026-04-23,"gft,pmd"
2026-05-07,"gft,pmd"
2026-05-16,restafval
2026-05-21,"gft,pmd"
2026-06-04,"gft,pmd"
2026-06-11,restafval
2026-06-15,textiel
2026-06-18,"gft,pmd"
2026-07-02,"gft,pmd"
2026-07-09,restafval
2026-07-16,"gft,pmd"
2026-07-30,"gft,pmd"
2026-08-06,restafval
2026-08-13,"gft,pmd"
2026-08-27,"gft,pmd"
2026-09-03,restafval
2026-09-10,"gft,pmd"
2026-09-21,textiel
2026-09-24,"gft,pmd"
2026-10-01,restafval
2026-10-08,"gft,pmd"
2026-10-22,"gft,pmd"
2026-10-29,restafval
2026-11-05,"gft,pmd"
2026-11-19,"gft,pmd"
2026-11-26,restafval
2026-11-30,textiel
2026-12-03,pmd
2026-12-17,"gft,pmd"
2026-12-24,restafval
2026-12-31,pmd
